"Date","count","covid_case","covid_trend"
2010-09-19,1200,0,0
2010-09-20,2372,0,0
2010-09-21,1064,0,0
2010-09-22,1085,0,0
2010-09-23,1042,0,0
2010-09-24,2437,0,0
2010-09-25,1334,0,0
2010-09-26,1253,0,0
2010-09-27,2954,0,0
2010-09-28,3007,0,0
2010-09-29,2896,0,0
2010-09-30,2563,0,0
2010-10-01,2856,0,0
2010-10-02,1441,0,0
2010-10-03,1231,0,0
2010-10-04,3054,0,0
2010-10-05,2914,0,0
2010-10-06,2899,0,0
2010-10-07,2737,0,0
2010-10-08,2939,0,0
2010-10-09,1333,0,0
2010-10-10,1387,0,0
2010-10-11,3037,0,0
2010-10-12,2855,0,0
2010-10-13,2954,0,0
2010-10-14,2650,0,0
2010-10-15,2901,0,0
2010-10-16,1440,0,0
2010-10-17,1252,0,0
2010-10-18,2987,0,0
2010-10-19,2900,0,0
2010-10-20,2980,0,0
2010-10-21,2847,0,0
2010-10-22,2976,0,0
2010-10-23,1358,0,0
2010-10-24,1252,0,0
2010-10-25,3009,0,0
2010-10-26,2855,0,0
2010-10-27,2990,0,0
2010-10-28,2709,0,0
2010-10-29,2926,0,0
2010-10-30,1465,0,0
2010-10-31,1214,0,0
2010-11-01,2976,0,0
2010-11-02,2843,0,0
2010-11-03,2920,0,0
2010-11-04,2716,0,0
2010-11-05,2852,0,0
2010-11-06,1488,0,0
2010-11-07,1273,0,0
2010-11-08,2968,0,0
2010-11-09,2823,0,0
2010-11-10,2877,0,0
2010-11-11,2733,0,0
2010-11-12,2905,0,0
2010-11-13,1456,0,0
2010-11-14,1130,0,0
2010-11-15,2799,0,0
2010-11-16,2786,0,0
2010-11-17,2848,0,0
2010-11-18,2568,0,0
2010-11-19,2736,0,0
2010-11-20,1401,0,0
2010-11-21,1112,0,0
2010-11-22,2845,0,0
2010-11-23,2761,0,0
2010-11-24,2857,0,0
2010-11-25,2645,0,0
2010-11-26,2794,0,0
2010-11-27,1361,0,0
2010-11-28,1195,0,0
2010-11-29,2898,0,0
2010-11-30,2814,0,0
2010-12-01,2916,0,0
2010-12-02,2609,0,0
2010-12-03,2799,0,0
2010-12-04,1337,0,0
2010-12-05,1244,0,0
2010-12-06,3010,0,0
2010-12-07,2817,0,0
2010-12-08,2839,0,0
2010-12-09,2697,0,0
2010-12-10,2846,0,0
2010-12-11,1295,0,0
2010-12-12,1165,0,0
2010-12-13,3060,0,0
2010-12-14,2867,0,0
2010-12-15,2695,0,0
2010-12-16,2606,0,0
2010-12-17,2798,0,0
2010-12-18,1348,0,0
2010-12-19,1221,0,0
2010-12-20,2963,0,0
2010-12-21,2930,0,0
2010-12-22,2869,0,0
2010-12-23,2615,0,0
2010-12-24,2506,0,0
2010-12-25,1137,0,0
2010-12-26,1210,0,0
2010-12-27,2747,0,0
2010-12-28,2488,0,0
2010-12-29,2657,0,0
2010-12-30,2453,0,0
2010-12-31,2396,0,0
2011-01-01,884,0,0
2011-01-02,1207,0,0
2011-01-03,2782,0,0
2011-01-04,2752,0,0
2011-01-05,2840,0,0
2011-01-06,2495,0,0
2011-01-07,2698,0,0
2011-01-08,1338,0,0
2011-01-09,1213,0,0
2011-01-10,2814,0,0
2011-01-11,2782,0,0
2011-01-12,2858,0,0
2011-01-13,2652,0,0
2011-01-14,2831,0,0
2011-01-15,1338,0,0
2011-01-16,1027,0,0
2011-01-17,2795,0,0
2011-01-18,2847,0,0
2011-01-19,2847,0,0
2011-01-20,2639,0,0
2011-01-21,2811,0,0
2011-01-22,1470,0,0
2011-01-23,1066,0,0
2011-01-24,2725,0,0
2011-01-25,2879,0,0
2011-01-26,2857,0,0
2011-01-27,2623,0,0
2011-01-28,2833,0,0
2011-01-29,1361,0,0
2011-01-30,1140,0,0
2011-01-31,2806,0,0
2011-02-01,2486,0,0
2011-02-02,1158,0,0
2011-02-03,948,0,0
2011-02-04,1050,0,0
2011-02-05,1165,0,0
2011-02-06,1170,0,0
2011-02-07,2976,0,0
2011-02-08,3019,0,0
2011-02-09,2949,0,0
2011-02-10,2687,0,0
2011-02-11,2913,0,0
2011-02-12,1448,0,0
2011-02-13,1156,0,0
2011-02-14,3005,0,0
2011-02-15,3021,0,0
2011-02-16,2970,0,0
2011-02-17,2618,0,0
2011-02-18,2780,0,0
2011-02-19,1487,0,0
2011-02-20,1311,0,0
2011-02-21,2932,0,0
2011-02-22,2846,0,0
2011-02-23,2936,0,0
2011-02-24,2586,0,0
2011-02-25,2758,0,0
2011-02-26,1434,0,0
2011-02-27,1210,0,0
2011-02-28,2913,0,0
2011-03-01,1015,0,0
2011-03-02,2953,0,0
2011-03-03,2731,0,0
2011-03-04,2878,0,0
2011-03-05,1511,0,0
2011-03-06,1244,0,0
2011-03-07,3008,0,0
2011-03-08,3055,0,0
2011-03-09,3112,0,0
2011-03-10,2873,0,0
2011-03-11,3002,0,0
2011-03-12,1502,0,0
2011-03-13,1255,0,0
2011-03-14,2983,0,0
2011-03-15,2903,0,0
2011-03-16,3055,0,0
2011-03-17,2780,0,0
2011-03-18,2942,0,0
2011-03-19,1664,0,0
2011-03-20,1104,0,0
2011-03-21,3082,0,0
2011-03-22,3053,0,0
2011-03-23,3050,0,0
2011-03-24,2966,0,0
2011-03-25,2984,0,0
2011-03-26,1479,0,0
2011-03-27,1319,0,0
2011-03-28,3007,0,0
2011-03-29,3030,0,0
2011-03-30,2973,0,0
2011-03-31,2720,0,0
2011-04-01,2994,0,0
2011-04-02,1550,0,0
2011-04-03,1302,0,0
2011-04-04,3029,0,0
2011-04-05,3028,0,0
2011-04-06,3012,0,0
2011-04-07,2702,0,0
2011-04-08,2978,0,0
2011-04-09,1534,0,0
2011-04-10,1300,0,0
2011-04-11,2973,0,0
2011-04-12,2928,0,0
2011-04-13,3038,0,0
2011-04-14,2811,0,0
2011-04-15,3036,0,0
2011-04-16,1584,0,0
2011-04-17,1326,0,0
2011-04-18,2999,0,0
2011-04-19,2953,0,0
2011-04-20,3083,0,0
2011-04-21,2719,0,0
2011-04-22,2794,0,0
2011-04-23,1456,0,0
2011-04-24,1295,0,0
2011-04-25,2928,0,0
2011-04-26,2959,0,0
2011-04-27,3044,0,0
2011-04-28,2792,0,0
2011-04-29,2990,0,0
2011-04-30,1385,0,0
2011-05-01,1209,0,0
2011-05-02,3052,0,0
2011-05-03,2869,0,0
2011-05-04,2984,0,0
